Simple-Majority,Sensitivity-Oriented,Specificity-Oriented,Presumptuous,AND_Rule,OR_Rule,Accuracy-Oriented,Confidence-Oriented,Cautious
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
1,1,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,0
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
,,,,,,1,1,1
