id,HD,ConfH,AI,idC,Conf,GT,HACC,HSPEC,HSENS
1,1,0.75,1,a,0.91,1,0.89,0.89,0.89
2,1,0.25,1,a,0.77,1,1.0,1.0,1.0
3,1,0.75,1,a,0.83,1,0.83,0.78,0.89
4,1,0.75,1,a,0.81,1,1.0,1.0,1.0
5,1,0.75,1,a,0.93,1,0.78,0.78,0.78
6,1,0.25,1,a,0.92,1,1.0,1.0,1.0
7,1,0.75,1,a,0.96,1,0.89,1.0,0.78
8,0,0.25,1,a,0.78,1,0.89,0.89,0.89
9,1,0.5,1,a,0.86,1,0.78,0.67,0.89
10,1,0.75,1,a,0.77,1,0.83,0.89,0.78
11,1,0.75,1,a,0.81,1,0.89,1.0,0.78
12,0,0.25,1,a,0.88,1,0.78,0.67,0.89
13,1,0.25,1,a,0.77,1,0.94,0.89,1.0
14,1,0.25,1,a,0.81,1,0.89,0.78,1.0
15,1,0.75,1,a,0.91,1,0.83,0.89,0.78
16,1,0.75,1,a,0.89,1,0.89,1.0,0.78
1,1,0.75,1,b,0.81,1,0.89,0.89,0.89
2,1,0.25,1,b,0.9,1,1.0,1.0,1.0
3,1,0.25,1,b,0.94,1,0.83,0.78,0.89
4,1,0.25,1,b,0.77,1,1.0,1.0,1.0
5,1,0.25,1,b,0.94,1,0.78,0.78,0.78
6,1,0.25,1,b,0.92,1,1.0,1.0,1.0
7,1,0.5,1,b,0.84,1,0.89,1.0,0.78
8,1,0.25,1,b,0.8,1,0.89,0.89,0.89
9,1,0.75,1,b,0.98,1,0.78,0.67,0.89
10,1,0.25,1,b,0.84,1,0.83,0.89,0.78
11,1,0.5,1,b,0.78,1,0.89,1.0,0.78
12,1,0.25,1,b,0.79,1,0.78,0.67,0.89
13,1,0.25,1,b,0.95,1,0.94,0.89,1.0
14,1,0.25,1,b,0.9,1,0.89,0.78,1.0
15,1,0.25,1,b,0.94,1,0.83,0.89,0.78
16,1,0.25,1,b,0.93,1,0.89,1.0,0.78
1,1,0.75,1,c,0.88,1,0.89,0.89,0.89
2,1,0.25,1,c,0.98,1,1.0,1.0,1.0
3,1,0.25,1,c,0.85,1,0.83,0.78,0.89
4,1,0.25,1,c,0.89,1,1.0,1.0,1.0
5,1,0.75,1,c,0.95,1,0.78,0.78,0.78
6,1,0.75,1,c,0.9,1,1.0,1.0,1.0
7,1,0.5,1,c,0.96,1,0.89,1.0,0.78
8,1,0.25,1,c,0.89,1,0.89,0.89,0.89
9,1,0.5,1,c,0.92,1,0.78,0.67,0.89
10,1,0.25,1,c,0.77,1,0.83,0.89,0.78
11,1,0.25,1,c,0.82,1,0.89,1.0,0.78
12,1,0.25,1,c,0.83,1,0.78,0.67,0.89
13,1,0.25,1,c,0.78,1,0.94,0.89,1.0
14,1,0.75,1,c,0.82,1,0.89,0.78,1.0
15,1,0.25,1,c,0.79,1,0.83,0.89,0.78
16,1,0.25,1,c,0.83,1,0.89,1.0,0.78
1,1,0.55,1,d,0.91,1,0.89,0.89,0.89
2,1,0.75,1,d,0.85,1,1.0,1.0,1.0
3,1,0.75,1,d,0.85,1,0.83,0.78,0.89
4,1,0.25,1,d,0.81,1,1.0,1.0,1.0
5,0,0.25,1,d,0.82,1,0.78,0.78,0.78
6,1,0.5,1,d,0.97,1,1.0,1.0,1.0
7,0,0.25,1,d,0.91,1,0.89,1.0,0.78
8,1,0.75,1,d,0.9,1,0.89,0.89,0.89
9,1,0.75,1,d,0.8,1,0.78,0.67,0.89
10,0,0.5,1,d,0.93,1,0.83,0.89,0.78
11,0,0.75,1,d,0.8,1,0.89,1.0,0.78
12,1,0.5,1,d,0.85,1,0.78,0.67,0.89
13,1,0.75,1,d,0.98,1,0.94,0.89,1.0
14,1,0.25,1,d,0.91,1,0.89,0.78,1.0
15,0,0.75,1,d,0.89,1,0.83,0.89,0.78
16,0,0.5,1,d,0.92,1,0.89,1.0,0.78
1,1,0.25,1,e,0.95,1,0.89,0.89,0.89
2,1,0.25,1,e,0.94,1,1.0,1.0,1.0
3,1,0.25,1,e,0.82,1,0.83,0.78,0.89
4,1,0.25,1,e,0.77,1,1.0,1.0,1.0
5,1,0.25,1,e,0.83,1,0.78,0.78,0.78
6,1,0.25,1,e,0.82,1,1.0,1.0,1.0
7,1,0.75,1,e,0.81,1,0.89,1.0,0.78
8,1,0.25,1,e,0.97,1,0.89,0.89,0.89
9,1,0.75,1,e,0.96,1,0.78,0.67,0.89
10,1,0.75,1,e,0.83,1,0.83,0.89,0.78
11,1,0.25,1,e,0.91,1,0.89,1.0,0.78
12,1,0.25,1,e,0.85,1,0.78,0.67,0.89
13,1,0.25,1,e,0.97,1,0.94,0.89,1.0
14,1,0.25,1,e,0.87,1,0.89,0.78,1.0
15,1,0.25,1,e,0.82,1,0.83,0.89,0.78
16,1,0.75,1,e,0.82,1,0.89,1.0,0.78
1,1,0.5,1,f,0.89,1,0.89,0.89,0.89
2,1,0.5,1,f,0.82,1,1.0,1.0,1.0
3,1,0.5,1,f,0.89,1,0.83,0.78,0.89
4,1,0.25,1,f,0.96,1,1.0,1.0,1.0
5,1,0.5,1,f,0.85,1,0.78,0.78,0.78
6,1,0.75,1,f,0.81,1,1.0,1.0,1.0
7,0,0.75,1,f,0.99,1,0.89,1.0,0.78
8,1,0.75,1,f,0.88,1,0.89,0.89,0.89
9,1,0.5,1,f,0.78,1,0.78,0.67,0.89
10,1,0.75,1,f,0.78,1,0.83,0.89,0.78
11,0,0.5,1,f,0.79,1,0.89,1.0,0.78
12,1,0.5,1,f,0.9,1,0.78,0.67,0.89
13,1,0.25,1,f,0.94,1,0.94,0.89,1.0
14,1,0.25,1,f,0.86,1,0.89,0.78,1.0
15,1,0.5,1,f,0.78,1,0.83,0.89,0.78
16,1,0.75,1,f,0.85,1,0.89,1.0,0.78
1,0,0.5,0,g,0.74,1,0.89,0.89,0.89
2,1,0.75,0,g,0.64,1,1.0,1.0,1.0
3,0,0.75,0,g,0.73,1,0.83,0.78,0.89
4,1,0.25,0,g,0.71,1,1.0,1.0,1.0
5,0,0.25,0,g,0.53,1,0.78,0.78,0.78
6,1,0.75,0,g,0.68,1,1.0,1.0,1.0
7,1,0.25,0,g,0.67,1,0.89,1.0,0.78
8,1,0.75,0,g,0.64,1,0.89,0.89,0.89
9,0,0.25,0,g,0.59,1,0.78,0.67,0.89
10,1,0.75,0,g,0.67,1,0.83,0.89,0.78
11,1,0.5,0,g,0.55,1,0.89,1.0,0.78
12,1,0.25,0,g,0.62,1,0.78,0.67,0.89
13,1,0.25,0,g,0.63,1,0.94,0.89,1.0
14,1,0.75,0,g,0.73,1,0.89,0.78,1.0
15,0,0.5,0,g,0.71,1,0.83,0.89,0.78
16,0,0.5,0,g,0.59,1,0.89,1.0,0.78
1,1,0.75,1,h,0.88,1,0.89,0.89,0.89
2,1,0.75,1,h,0.8,1,1.0,1.0,1.0
3,1,0.25,1,h,0.97,1,0.83,0.78,0.89
4,1,0.25,1,h,0.96,1,1.0,1.0,1.0
5,1,0.25,1,h,0.83,1,0.78,0.78,0.78
6,1,0.5,1,h,0.91,1,1.0,1.0,1.0
7,1,0.5,1,h,0.9,1,0.89,1.0,0.78
8,1,0.75,1,h,0.8,1,0.89,0.89,0.89
9,1,0.75,1,h,0.93,1,0.78,0.67,0.89
10,1,0.25,1,h,0.88,1,0.83,0.89,0.78
11,1,0.75,1,h,0.94,1,0.89,1.0,0.78
12,1,0.25,1,h,0.88,1,0.78,0.67,0.89
13,1,0.25,1,h,0.77,1,0.94,0.89,1.0
14,1,0.25,1,h,0.84,1,0.89,0.78,1.0
15,1,0.25,1,h,0.77,1,0.83,0.89,0.78
16,1,0.75,1,h,0.97,1,0.89,1.0,0.78
1,0,0.75,0,i,0.96,0,0.89,0.89,0.89
2,0,0.75,0,i,0.95,0,1.0,1.0,1.0
3,0,0.5,0,i,0.83,0,0.83,0.78,0.89
4,0,0.75,0,i,0.78,0,1.0,1.0,1.0
5,0,0.25,0,i,0.96,0,0.78,0.78,0.78
6,0,0.25,0,i,0.97,0,1.0,1.0,1.0
7,0,0.75,0,i,0.78,0,0.89,1.0,0.78
8,0,0.75,0,i,0.87,0,0.89,0.89,0.89
9,0,0.5,0,i,0.78,0,0.78,0.67,0.89
10,0,0.75,0,i,0.93,0,0.83,0.89,0.78
11,0,0.58,0,i,0.93,0,0.89,1.0,0.78
12,1,0.25,0,i,0.79,0,0.78,0.67,0.89
13,0,0.75,0,i,0.87,0,0.94,0.89,1.0
14,0,0.25,0,i,0.89,0,0.89,0.78,1.0
15,0,0.75,0,i,0.82,0,0.83,0.89,0.78
16,0,0.75,0,i,0.96,0,0.89,1.0,0.78
1,1,0.75,0,l,0.86,0,0.89,0.89,0.89
2,0,0.75,0,l,0.81,0,1.0,1.0,1.0
3,0,0.75,0,l,0.88,0,0.83,0.78,0.89
4,0,0.75,0,l,0.93,0,1.0,1.0,1.0
5,0,0.75,0,l,0.81,0,0.78,0.78,0.78
6,0,0.25,0,l,0.83,0,1.0,1.0,1.0
7,0,0.75,0,l,0.99,0,0.89,1.0,0.78
8,0,0.75,0,l,0.91,0,0.89,0.89,0.89
9,0,0.5,0,l,0.86,0,0.78,0.67,0.89
10,0,0.75,0,l,0.88,0,0.83,0.89,0.78
11,0,0.75,0,l,0.79,0,0.89,1.0,0.78
12,0,0.75,0,l,0.81,0,0.78,0.67,0.89
13,0,0.75,0,l,0.84,0,0.94,0.89,1.0
14,0,0.25,0,l,0.9,0,0.89,0.78,1.0
15,0,0.75,0,l,0.82,0,0.83,0.89,0.78
16,0,0.25,0,l,0.81,0,0.89,1.0,0.78
1,0,0.5,0,m,0.78,0,0.89,0.89,0.89
2,0,0.25,0,m,0.9,0,1.0,1.0,1.0
3,1,0.5,0,m,0.82,0,0.83,0.78,0.89
4,0,0.5,0,m,0.97,0,1.0,1.0,1.0
5,0,0.25,0,m,0.95,0,0.78,0.78,0.78
6,0,0.75,0,m,0.78,0,1.0,1.0,1.0
7,0,0.5,0,m,0.82,0,0.89,1.0,0.78
8,0,0.75,0,m,0.91,0,0.89,0.89,0.89
9,1,0.5,0,m,0.81,0,0.78,0.67,0.89
10,1,0.75,0,m,0.79,0,0.83,0.89,0.78
11,0,0.25,0,m,0.97,0,0.89,1.0,0.78
12,0,0.75,0,m,0.89,0,0.78,0.67,0.89
13,0,0.25,0,m,0.87,0,0.94,0.89,1.0
14,0,0.75,0,m,0.94,0,0.89,0.78,1.0
15,0,0.25,0,m,0.94,0,0.83,0.89,0.78
16,0,0.75,0,m,0.81,0,0.89,1.0,0.78
1,0,0.25,0,n,0.79,0,0.89,0.89,0.89
2,0,0.25,0,n,0.86,0,1.0,1.0,1.0
3,0,0.75,0,n,0.86,0,0.83,0.78,0.89
4,0,0.5,0,n,0.87,0,1.0,1.0,1.0
5,0,0.25,0,n,0.93,0,0.78,0.78,0.78
6,0,0.5,0,n,0.91,0,1.0,1.0,1.0
7,0,0.5,0,n,0.98,0,0.89,1.0,0.78
8,0,0.75,0,n,0.79,0,0.89,0.89,0.89
9,1,0.5,0,n,0.85,0,0.78,0.67,0.89
10,0,0.25,0,n,0.84,0,0.83,0.89,0.78
11,0,0.75,0,n,0.96,0,0.89,1.0,0.78
12,0,0.25,0,n,0.82,0,0.78,0.67,0.89
13,1,0.5,0,n,0.81,0,0.94,0.89,1.0
14,0,0.75,0,n,0.86,0,0.89,0.78,1.0
15,1,0.5,0,n,0.86,0,0.83,0.89,0.78
16,0,0.75,0,n,0.83,0,0.89,1.0,0.78
1,0,0.75,0,o,0.82,0,0.89,0.89,0.89
2,0,0.75,0,o,0.97,0,1.0,1.0,1.0
3,0,0.5,0,o,0.86,0,0.83,0.78,0.89
4,0,0.5,0,o,0.96,0,1.0,1.0,1.0
5,0,0.75,0,o,0.89,0,0.78,0.78,0.78
6,0,0.75,0,o,0.78,0,1.0,1.0,1.0
7,0,0.75,0,o,0.99,0,0.89,1.0,0.78
8,0,0.75,0,o,0.95,0,0.89,0.89,0.89
9,0,0.5,0,o,0.98,0,0.78,0.67,0.89
10,0,0.75,0,o,0.97,0,0.83,0.89,0.78
11,0,0.75,0,o,0.95,0,0.89,1.0,0.78
12,0,0.25,0,o,0.8,0,0.78,0.67,0.89
13,0,0.25,0,o,0.87,0,0.94,0.89,1.0
14,1,0.75,0,o,0.81,0,0.89,0.78,1.0
15,0,0.75,0,o,0.85,0,0.83,0.89,0.78
16,0,0.5,0,o,0.78,0,0.89,1.0,0.78
1,0,0.75,1,p,0.61,0,0.89,0.89,0.89
2,0,0.5,1,p,0.74,0,1.0,1.0,1.0
3,0,0.75,1,p,0.59,0,0.83,0.78,0.89
4,0,0.75,1,p,0.7,0,1.0,1.0,1.0
5,0,0.5,1,p,0.63,0,0.78,0.78,0.78
6,0,0.75,1,p,0.62,0,1.0,1.0,1.0
7,0,0.5,1,p,0.73,0,0.89,1.0,0.78
8,1,0.5,1,p,0.74,0,0.89,0.89,0.89
9,1,0.25,1,p,0.65,0,0.78,0.67,0.89
10,0,0.75,1,p,0.68,0,0.83,0.89,0.78
11,0,0.5,1,p,0.56,0,0.89,1.0,0.78
12,1,0.25,1,p,0.59,0,0.78,0.67,0.89
13,0,0.25,1,p,0.73,0,0.94,0.89,1.0
14,1,0.5,1,p,0.65,0,0.89,0.78,1.0
15,0,0.5,1,p,0.64,0,0.83,0.89,0.78
16,0,0.5,1,p,0.69,0,0.89,1.0,0.78
1,0,0.75,0,q,0.78,0,0.89,0.89,0.89
2,0,0.75,0,q,0.89,0,1.0,1.0,1.0
3,0,0.75,0,q,0.88,0,0.83,0.78,0.89
4,0,0.75,0,q,0.95,0,1.0,1.0,1.0
5,1,0.25,0,q,0.8,0,0.78,0.78,0.78
6,0,0.75,0,q,0.98,0,1.0,1.0,1.0
7,0,0.75,0,q,0.78,0,0.89,1.0,0.78
8,0,0.75,0,q,0.81,0,0.89,0.89,0.89
9,0,0.25,0,q,0.9,0,0.78,0.67,0.89
10,0,0.75,0,q,0.91,0,0.83,0.89,0.78
11,0,0.75,0,q,0.82,0,0.89,1.0,0.78
12,1,0.25,0,q,0.79,0,0.78,0.67,0.89
13,0,0.25,0,q,0.96,0,0.94,0.89,1.0
14,0,0.25,0,q,0.82,0,0.89,0.78,1.0
15,0,0.75,0,q,0.9,0,0.83,0.89,0.78
16,0,0.75,0,q,0.9,0,0.89,1.0,0.78
1,0,0.75,0,r,0.86,0,0.89,0.89,0.89
2,0,0.75,0,r,0.89,0,1.0,1.0,1.0
3,1,0.75,0,r,0.88,0,0.83,0.78,0.89
4,0,0.75,0,r,0.97,0,1.0,1.0,1.0
5,1,0.75,0,r,0.81,0,0.78,0.78,0.78
6,0,0.75,0,r,0.92,0,1.0,1.0,1.0
7,0,0.75,0,r,0.82,0,0.89,1.0,0.78
8,0,0.25,0,r,0.85,0,0.89,0.89,0.89
9,0,0.5,0,r,0.91,0,0.78,0.67,0.89
10,0,0.25,0,r,0.83,0,0.83,0.89,0.78
11,0,0.75,0,r,0.83,0,0.89,1.0,0.78
12,0,0.75,0,r,0.93,0,0.78,0.67,0.89
13,0,0.25,0,r,0.78,0,0.94,0.89,1.0
14,0,0.25,0,r,0.87,0,0.89,0.78,1.0
15,0,0.75,0,r,0.99,0,0.83,0.89,0.78
16,0,0.75,0,r,0.99,0,0.89,1.0,0.78
1,1,0.75,1,s,0.78,1,0.89,0.89,0.89
2,1,0.25,1,s,0.81,1,1.0,1.0,1.0
3,1,0.75,1,s,0.82,1,0.83,0.78,0.89
4,1,0.75,1,s,0.97,1,1.0,1.0,1.0
5,1,0.75,1,s,0.96,1,0.78,0.78,0.78
6,1,0.25,1,s,0.96,1,1.0,1.0,1.0
7,1,0.75,1,s,0.85,1,0.89,1.0,0.78
8,1,0.25,1,s,0.8,1,0.89,0.89,0.89
9,1,0.75,1,s,0.95,1,0.78,0.67,0.89
10,0,0.75,1,s,0.92,1,0.83,0.89,0.78
11,1,0.75,1,s,0.9,1,0.89,1.0,0.78
12,1,0.5,1,s,0.98,1,0.78,0.67,0.89
13,1,0.25,1,s,0.91,1,0.94,0.89,1.0
14,1,0.25,1,s,0.77,1,0.89,0.78,1.0
15,1,0.75,1,s,0.95,1,0.83,0.89,0.78
16,1,0.25,1,s,0.83,1,0.89,1.0,0.78
1,0,0.75,0,t,0.91,0,0.89,0.89,0.89
2,0,0.5,0,t,0.97,0,1.0,1.0,1.0
3,0,0.75,0,t,0.79,0,0.83,0.78,0.89
4,0,0.5,0,t,0.79,0,1.0,1.0,1.0
5,0,0.75,0,t,0.79,0,0.78,0.78,0.78
6,0,0.25,0,t,0.89,0,1.0,1.0,1.0
7,0,0.75,0,t,0.82,0,0.89,1.0,0.78
8,0,0.25,0,t,0.9,0,0.89,0.89,0.89
9,0,0.25,0,t,0.92,0,0.78,0.67,0.89
10,0,0.75,0,t,0.81,0,0.83,0.89,0.78
11,0,0.75,0,t,0.91,0,0.89,1.0,0.78
12,0,0.75,0,t,0.82,0,0.78,0.67,0.89
13,0,0.25,0,t,0.87,0,0.94,0.89,1.0
14,0,0.75,0,t,0.97,0,0.89,0.78,1.0
15,0,0.25,0,t,0.95,0,0.83,0.89,0.78
16,0,0.75,0,t,0.78,0,0.89,1.0,0.78
