Accuracy-Oriented,Confidence-Oriented,Cautious,Simple-Majority,Specificity-Oriented,Sensitivity-Oriented,Presumptuous,AND_Rule,OR_Rule
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
1,1,1,,,,,,
